Cod interno;Descripcion;Precio Lista
261;MEG Malbec Cab. x 1500ml;73833,62
462;San Lucas Tinto x 750ml;1484,28
463;Federico de A. Blanco Dulce x 750ml;2753,1
464;Federico de A. Rose Dulce x 750ml;2753,1
465;Sensei Malbec Ahumado 750ml;2794,24
466;Profugo Frutos Rojos 750ml;2632,5
466/1;Profugo Especias 750ml;2632,5
466/2;Profugo Chenin 750ml;2750,58
466/3;Profugo Mr Franc;3385,62
467;Oveja Black Malbec 750ml;2632,5
467/1;Oveja Black Red Blend x 750ml;2632,5
467/2;Oveja Black Cabernet x 750ml;2632,5
467/3;Oveja Black Chenin Dulce 750 ml;3050,24
467/4;Oveja Black Reserva Malbec 750ml;8514,56
467/5;Oveja Black Spritz 750ml;2800,64
468;Sin Palabras Malbec 750ml;2632,5
474;Confidencial Malbec 2015 750ml;17535
475;Confidencial Malbec 2019 750ml;18785
476;Confidencial Cabernet Franc 2019 750ml;18785
477;Desterrado Camino 2015 750ml;11622,5
477/1;Desterrado Camino 2017 750ml;11622,5
478;Desterrado Destino 2015 750ml;11622,5
479;Desterrado Inicio 2017 750ml;11622,5
480;Desterrado Blend Mix 750ml;11622,5
481;Septima Emblema Malbec x 750ml;4397,9
482;Septima Emblema Cab. Franc x 750 ml;4397,9
483;Los Pasos Malbec x 750ml;3250
483/1;Los Pasos Tinto Dulce x 750ml;3250
484;Los Pasos Cabernet x 750ml;3250
485;Los Pasos Blanco Dulce x 750ml;3250
486;Los Pasos Rosado Dulce x 750ml;3250
488;Cosecha Tardia Blanco x750;3860,99
489;Cosecha Tardia Rosado x750ml;3860,99
497;Viñas de Alvear Tinto x 1.125 ml;2209,13
497/1;Viñas de Alvear Blanco x 1.125 ml;2209,13
497/2;Viñas de Alvear Red Blend x 1.125ml;2291,59
498;Viñas de Balbo blanco 1.25L;2536,19
499;Viñas de Balbo Tinto 1,125 ml;2201,55
499/1;Termidor Tinto x 1 lt;1814,8
502;Saint Felicien Malbec 750 ml;9259,9
502/1;Saint Felicien Malbec x 1,5lt;14685,44
502/2;Saint Felicien Chardonnay x 750ml;8949,2
502/3;Saint Felicien Rose x 750ml;22508,75
503;Nicasia Red Blend 750ml;7143,5
504;Alamos Malbec x 750ml;5944,9
504/1;Alamos Chardonnay x 750ml;6106,25
504/2;Alamos Reserva Malbec x 750ml;6810,7
505;Alma Mora Malbec x 750ml;5021,9
508;Cuatro Monos Locos x 750ml;3049,69
509;Ajenjo Tinto x 750ml;3290,3
510;Ajenjo Rosso x 750ml;3290,3
510/1;DV Catena Cab - Mal ;11480,3
510/3;DV Catena Malbec Malbec;20191,6
512;Omnium Malbec 750ml;3845,4
513;Omnium Cabernet 750ml;4141,2
515;MI Terra Malbec 750cc;5950,1
519;Perro Callejero Blend Malbec 750ml;5123,75
520;Cordero Piel de Lobo Malbec 750ml;3814,2
520/1;Cordero Malbec BOX x 3 lt;12105
520/3;Cordero Piel de Lobo Cabernet 750ml;3201,25
521;PISPI 750ml;6870
522;Mosquita Muerta 750cc;13628,51
522/1;Mosquita Muerta Black Malbec 750ml;20118,75
